"team","birth_date","age","player_id","position","full_name"
"NULL","1995-02-12","26","6462","TE","Ellis Richardson"
"NULL","1997-02-06","24","7926","TE","Carl Tucker"
"TB","1992-02-18","29","1408","RB","Le'Veon Bell"
"NULL","1997-05-02","24","8074","TE","Matt Seybert"
"NULL","2000-07-27","24","13175","QB","Kinkead Dent"
"NULL","1992-01-29","26","2881","WR","Tyler Slavin"
"NULL","1990-01-25","30","1284","RB","Lance Dunbar"
"NULL","1991-10-16","30","2801","WR","DeAndrew White"
"NULL","1989-10-19","27","1073","TE","Taylor Thompson"
"NULL","1997-10-14","24","7918","RB","A.J. Rose"
"NULL","1993-12-03","28","5428","WR","Ricky Jeune"
"NULL","2000-08-04","24","13221","QB","Brett Gabbert"
"NULL","1999-04-07","24","11522","WR","Jerome Kapp"
"NULL","1993-02-17","29","2474","TE","Nick Boyle"
"NULL","1999-10-18","25","8809","RB","Aaron Shampklin"
"JAX","2002-03-21","23","9487","WR","Parker Washington"
"NULL","1992-12-06","27","1907","QB","Johnny Manziel"
"NULL","1992-10-30","32","3342","WR","Jakeem Grant"
"NULL","1990-01-08","32","1684","WR","Jaron Brown"
"IND","1998-12-30","26","6918","RB","Salvon Ahmed"
"NULL","1995-07-01","29","6137","TE","Tommy Sweeney"
"NULL","1993-02-24","28","3561","TE","Bryce Williams"
"NULL","1989-07-26","29","832","WR","Ryan Whalen"
"DAL","1999-04-08","26","6786","WR","CeeDee Lamb"
"WAS","1996-03-04","29","5038","WR","Michael Gallup"
"TB","2002-08-19","22","11584","RB","Bucky Irving"
"NULL","1989-01-13","32","1195","RB","Doug Martin"
"NULL","1993-01-05","29","2023","WR","De'Anthony Thomas"
"CIN","2002-02-10","23","11649","RB","Kendall Milton"
"CLE","1999-04-24","26","6783","WR","Jerry Jeudy"
"NULL","1985-01-25","35","221","TE","Brent Celek"
"NULL","1987-07-16","30","387","RB","Knowshon Moreno"
"NULL","NULL","NULL","8432","TE","Player Invalid"
"SF","2001-02-04","24","11616","WR","Jacob Cowing"
"CHI","1996-10-12","28","5965","WR","Miles Boykin"
"NULL","1991-01-14","26","2125","WR","Andrew Peacock"
"JAX","2002-10-16","22","13064","WR","Dorian Singer"
"NO","1995-10-23","29","4992","WR","Dante Pettis"
"NULL","1993-10-12","28","3620","WR","Bralon Addison"
"NULL","2001-02-15","22","11155","TE","Christian Sims"
"NE","2002-05-07","23","9504","WR","Kayshon Boutte"
"NULL","1995-09-14","26","4828","WR","Rashard Davis"
"NULL","1991-08-09","29","1914","RB","Dri Archer"
"NULL","1994-12-02","27","4396","WR","Drew Morgan"
"NULL","1995-11-27","29","4038","WR","John Ross"
"LAC","2003-03-16","22","12507","RB","Omarion Hampton"
"NULL","1989-01-30","31","914","WR","Leonard Hankerson"
"DEN","2000-09-13","24","11439","RB","Jaleel McLaughlin"
"NULL","1999-09-29","23","11282","WR","Johnny King"
"NULL","1992-12-26","29","3730","WR","Tevin Jones"
"NULL","1990-03-22","31","1609","TE","Chris Pantale"
"NULL","1996-08-27","25","5718","TE","Ryan Yurachek"
"NULL","1993-06-16","28","3916","WR","David Watford"
"NULL","1995-11-04","26","5530","WR","Evan Berry"
"NULL","2000-03-26","23","11445","WR","Taylor Grimes"
"NULL","1994-12-12","27","5619","RB","Dalyn Dawkins"
"NULL","1995-04-27","29","5122","RB","Boston Scott"
"NULL","1991-09-07","29","5396","WR","Sergio Bailey II"
"BAL","2001-06-19","24","11629","WR","Devontez Walker"
"NULL","1984-02-03","33","355","RB","Brian Leonard"
"NULL","1986-11-07","31","506","WR","David Nelson"
"NULL","1986-10-09","33","737","TE","Mickey Shuler"
"NULL","1989-08-25","31","1749","TE","Jake Stoneburner"
"NULL","1993-04-13","30","2320","RB","Melvin Gordon"
"NULL","1990-09-13","33","1895","QB","AJ McCarron"
"NULL","2001-04-06","23","11906","WR","Ty James"
"LAC","2003-06-25","22","12493","TE","Oronde Gadsden"
"NULL","1983-12-12","33","287","WR","Brad Smith"
"NULL","NULL","NULL","12028","RB","TaMerik Williams"
"NULL","1987-05-02","33","521","TE","Jeff Cumberland"
"BAL","2002-03-29","23","12699","WR","LaJohntay Wester"
"NULL","1993-11-22","28","3488","RB","D.J. Foster"
"NULL","NULL","NULL","4909","RB","Duce Staley"
"NULL","NULL","NULL","12244","WR","DeAngelo Hardy"
"NULL","1990-07-02","32","1387","RB","Rex Burkhead"
"NULL","1993-10-15","24","3759","TE","Gabe Hughes"
"ATL","2000-10-06","24","7553","TE","Kyle Pitts"
"NULL","1996-12-02","25","5143","RB","Demario Richard"
"NULL","NULL","NULL","8410","WR","Jequez Ezzard"
"PIT","1997-05-03","24","5845","QB","Dwayne Haskins"
"NULL","1992-07-12","30","2025","WR","Albert Wilson"
"NULL","NULL","NULL","12300","TE","Joshua Lingenfelter"
"PHI","1998-11-03","26","11304","TE","E.J. Jenkins"
"CLE","1985-01-16","40","19","QB","Joe Flacco"
"NULL","1987-11-04","32","1009","WR","Bryan Walters"
"CAR","2003-01-25","22","12967","WR","Jacolby George"
"NULL","1990-02-23","27","1524","WR","Kevin Dorsey"
"NULL","1988-11-14","31","1250","TE","Will Johnson"
"NULL","1992-01-14","29","2519","TE","Neal Sterling"
"PHI","NULL","NULL","13228","WR","Ife Adeyi"
"NULL","1993-12-07","26","2721","WR","Chris Harper"
"NULL","1995-11-13","26","6459","WR","Sean Modster"
"NULL","1995-03-15","29","12264","WR","Cole Beck"
"NULL","1989-02-13","32","801","TE","Charles Clay"
"NULL","1983-04-25","37","306","RB","DeAngelo Williams"
"NULL","1992-12-05","29","3484","WR","Nelson Spruce"
"NULL","1996-04-18","25","6374","TE","Drew Belcher"
"IND","1993-09-19","31","4054","TE","Mo Alie-Cox"
"NULL","1991-11-11","26","1450","WR","Ace Sanders"
"NULL","1991-12-09","25","1966","WR","Ryan Lankford"
"WAS","1997-08-13","27","7944","WR","Michael Strachan"
"NULL","1991-05-09","26","2919","WR","Tyler McDonald"
"NULL","1989-11-17","33","1550","QB","Ryan Griffin"
"NULL","2000-12-19","24","13108","WR","Julian Fleming"
"SF","1993-05-09","32","3423","WR","Robbie Chosen"
"NULL","1999-12-31","25","12121","RB","Deshaun Fenwick"
"NULL","1987-06-11","34","406","TE","John Phillips"
"NULL","1993-01-30","31","3496","TE","Stephen Anderson"
"NULL","1988-12-01","28","1","QB","GJ Kinne"
"NULL","1993-12-15","28","4813","WR","Marvin Bracy"
"NULL","1992-07-16","32","1800","TE","Jordan Matthews"
"NULL","1988-08-07","32","833","TE","Jordan Cameron"
"NULL","1992-02-25","28","2537","WR","Mario Alford"
"NULL","NULL","NULL","3953","QB","Austin Trainor"
"NULL","1994-07-18","29","5100","RB","Jordan Wilkins"
"NULL","1998-02-06","26","7938","TE","Hunter Kampmoyer"
"DAL","2001-07-01","24","12848","WR","Josh Kelly"
"NULL","1972-09-21","47","404","QB","Jon Kitna"
"NULL","1982-08-06","38","698","QB","Charlie Whitehurst"
"SF","1999-07-08","26","8698","TE","Jake Tonges"
"NULL","1993-05-23","28","3453","RB","Josh Ferguson"
"NULL","1994-03-22","27","4385","RB","Kalif Phillips"
"NULL","1997-01-14","26","7013","QB","Steven Montez"
"NULL","1993-04-17","28","2193","RB","Darrin Reaves"
"NULL","1998-08-29","24","7862","WR","T.J. Vasher"
"NULL","NULL","NULL","12459","RB","Player Invalid"
"NULL","2001-03-12","23","10233","QB","Max Duggan"
"NULL","1984-09-01","36","8079","TE","Craig Stevens"
"NULL","1991-05-04","30","1517","RB","Theo Riddick"
"NULL","1997-04-30","26","6279","TE","Brandon Dillon"
"NULL","1996-05-09","25","6501","TE","C.J. Conrad"
"NULL","1986-04-09","31","1007","TE","Kevin Brock"
"NULL","NULL","NULL","5776","WR","Mark Chapman"
"NULL","1992-12-21","29","2948","RB","Brandon Cottom"
"PIT","NULL","NULL","12971","WR","Ke'Shawn Williams"
"NULL","1996-11-24","25","6381","WR","Alexander Hollins"
"PIT","1994-11-30","27","6016","TE","Dax Raymond"
"CAR","1999-11-18","25","11157","WR","Brycen Tremayne"
"NULL","1992-10-15","29","3471","RB","Aaron Green"
"NULL","1989-04-29","31","2297","RB","Glenn Winston"
"NULL","1987-09-03","30","881","QB","Ricky Stanzi"
"NULL","1998-01-30","26","6908","RB","La'Mical Perine"
"NULL","1994-10-22","27","4569","WR","Brian Brown"
"NULL","NULL","NULL","3945","WR","Darius White"
"NULL","1997-01-14","26","5007","WR","Keke Coutee"
"CLE","1998-12-10","26","8116","RB","Pierre Strong"
"NULL","1997-11-17","26","6823","QB","Jacob Eason"
"NULL","1992-10-07","29","3648","TE","Matt Weiser"
"NULL","1997-10-17","26","7619","WR","Mathew Sexton"
"NULL","1997-12-01","24","7555","QB","Jamie Newman"
"HOU","1998-10-21","26","7585","QB","Davis Mills"
"NULL","NULL","NULL","12399","WR","Caleb Chapman"
"NULL","1992-11-15","29","2603","WR","Shane Wynn"
"NULL","1999-03-03","25","8931","WR","Josh Ali"
"NULL","1991-01-02","26","2052","WR","Tevin Reese"
"NULL","NULL","NULL","8633","WR","Stephon Robinson"
"SF","1993-06-13","32","2359","RB","Ameer Abdullah"
"NULL","1988-07-20","32","1743","WR","Brittan Golden"
"NULL","1985-12-10","34","103","RB","Matt Forte"
"NULL","1990-09-27","31","788","RB","Dion Lewis"
"NULL","1998-07-27","26","8241","QB","Anthony Brown"
"SEA","1996-11-10","28","5854","QB","Drew Lock"
"NULL","NULL","NULL","2936","RB","Rasheed Williams"
"NULL","1994-11-16","27","3211","RB","Paul Perkins"
"PIT","1999-01-30","26","7593","RB","Trey Sermon"
"NULL","NULL","NULL","6489","QB","Taryn Christion"
"NULL","1996-07-06","25","7614","RB","Darius Clark"
"IND","2002-03-30","23","12832","WR","Blayne Taylor"
"KC","NULL","NULL","12809","WR","Mac Dalena"
"NULL","1998-08-01","23","6966","RB","Javon Leake"
"NULL","1995-03-28","26","4548","RB","Joel Bouagnon"
"NULL","2004-12-01","20","12354","TE","Easton Dean"
"NULL","1991-12-14","33","3021","WR","Devin Gardner"
"DEN","2003-09-06","21","11579","RB","Audric Estime"
"NULL","NULL","NULL","11572","RB","Player Invalid"
"NULL","1990-11-08","27","2225","TE","Alex Bayer"
"DAL","1993-07-29","32","3294","QB","Dak Prescott"
"NULL","1993-12-14","28","4031","TE","Travis Wilson"
"NULL","NULL","NULL","11611","WR","Player Invalid"
"NULL","1991-09-19","30","1910","QB","Connor Shaw"
"NULL","1987-01-22","31","16","RB","Ray Rice"
"NULL","1984-04-20","36","51","TE","Anthony Fasano"
"NULL","1997-12-30","24","7274","WR","Tyler Simmons"
"NULL","1994-08-03","27","5359","WR","Dorren Miller"
"NULL","1987-11-16","29","934","TE","Ryan Taylor"
"NULL","1994-03-15","27","3768","WR","Darius Powe"
"NULL","1994-04-25","27","3517","WR","Hunter Sharp"
"NULL","1993-12-13","31","3609","WR","Chris King"
"LAR","1988-02-07","37","421","QB","Matthew Stafford"
"NULL","1989-02-17","28","1293","RB","Jeremy Stewart"
"PHI","2001-04-03","24","11636","WR","Johnny Wilson"
"NULL","NULL","NULL","5258","WR","Damon Gibson"
"BUF","2000-02-03","25","8134","WR","Khalil Shakir"
"NULL","1995-02-19","26","5398","RB","Justin Crawford"
"KC","1999-04-30","26","7828","TE","Noah Gray"
"NULL","1998-07-03","26","10861","RB","Xazavian Valladay"
"NULL","1994-04-18","27","4814","WR","De'Quan Hampton"
"NULL","1997-12-06","24","7397","TE","Parker Houston"
"DAL","2000-03-06","25","11557","QB","Joe Milton"
"NULL","1997-08-03","26","5052","RB","Ronald Jones"
"NULL","1994-10-19","27","4128","WR","Chad Williams"
"NULL","1996-06-18","25","6626","WR","Isaac Zico"
"BAL","1997-11-14","27","5995","RB","Justice Hill"
"NULL","1992-10-05","32","3524","QB","Marquise Williams"
"NULL","1993-11-18","30","4421","TE","Jacob Hollister"
"NULL","NULL","NULL","2926","TE","Earnest Pettway"
"NULL","1993-04-28","27","2887","WR","Quan Bray"
"NYJ","NULL","NULL","12925","WR","Jamaal Pritchett"
"CHI","2004-04-09","21","12517","TE","Colston Loveland"
"NULL","1995-11-10","27","6081","TE","Kendall Blanton"
"NULL","1994-04-01","27","4634","WR","Kenneth Walker"
"NULL","1994-10-21","27","4479","WR","Thomas Sperbeck"
"NULL","1981-05-09","36","133","RB","Greg Jones"
"NULL","1992-10-20","30","3318","QB","Kevin Hogan"
"NULL","1992-07-10","26","3799","WR","David Glidden"
"NULL","1992-12-13","29","5269","TE","Codey McElroy"
"NULL","1992-10-02","29","2553","TE","Rory Anderson"
"NULL","1993-09-20","28","4585","WR","Anthony Nash"
"NULL","1998-09-23","24","11229","RB","Calvin Tyler"
"NULL","1994-03-07","30","2941","WR","Milton Williams"
"NULL","1985-07-02","37","89","QB","Chad Henne"
"BUF","1999-09-25","25","8138","RB","James Cook"
"NULL","NULL","NULL","5665","WR","Darren Andrews"
"NULL","1992-03-09","32","2770","TE","Harold Spears"
"NULL","1997-02-05","26","7159","QB","Reid Sinnett"
"NULL","NULL","NULL","7108","WR","Hasise Dubois"
"NULL","1998-03-24","27","9231","QB","Jaren Hall"
"IND","1997-07-06","24","7262","QB","Jalen Morton"
"NULL","1997-11-04","25","8442","QB","Jarrett Guarantano"
"PHI","2000-03-22","25","8119","WR","Jahan Dotson"
"ATL","2000-08-20","24","8194","RB","Jashaun Corbin"
"NULL","1997-12-31","24","7863","RB","JaQuan Hardy"
"NULL","1995-05-30","26","5231","TE","Cole Hunt"
"NULL","1997-01-13","24","7407","WR","Isaiah Wright"
"NULL","1994-07-28","27","5268","TE","Ben Johnson"
"NULL","1991-12-16","28","2185","WR","Corey Brown"
"NULL","1997-02-27","27","6075","TE","Jesper Horsted"
"NULL","1995-05-14","26","4697","RB","Khalid Abdullah"
"NULL","1987-05-02","33","539","WR","Marc Mariani"
"IND","NULL","NULL","12831","WR","Tyler Kahmann"
"NULL","2001-01-01","24","12220","WR","Brevin Easton"
"NULL","1995-05-30","26","5550","RB","John David Moore"
"NULL","NULL","NULL","11612","WR","Bru McCoy"
"NE","2001-10-26","23","12542","WR","Efton Chism"
"NULL","1990-03-11","30","1631","WR","Rodney Smith"
"NULL","1999-01-12","24","7552","WR","Blake Proehl"
"NULL","1991-05-01","30","4733","TE","Alex Gray"
"NULL","1993-01-31","28","3540","WR","Jamaal Jones"
"SF","1997-07-10","28","7049","WR","Jauan Jennings"
"NULL","1993-12-13","28","3338","WR","Keenan Reynolds"
